Spp_jetz;animal;Imports
Otus_scops;Otus_scops;3786
Oxyura_jamaicensis;Oxyura_jamaicensis;3
Oxyura_leucocephala;Oxyura_leucocephala;374
Padda_fuscata;Padda_fuscata;4115
Padda_oryzivora;Padda_oryzivora;836555
Pandion_haliaetus;Pandion_haliaetus;59
Parabuteo_unicinctus;Parabuteo_unicinctus;2456
Paradisaea_apoda;Paradisaea_apoda;172
Paradisaea_guilielmi;Paradisaea_guilielmi;7
Paradisaea_minor;Paradisaea_minor;94
Paradisaea_raggiana;Paradisaea_raggiana;70
Paradisaea_rubra;Paradisaea_rubra;115
Paradisaea_rudolphi;Paradisaea_rudolphi;10
Paroaria_capitata;Paroaria_capitata;6255
Paroaria_coronata;Paroaria_coronata;11883
Parotia_carolae;Parotia_carolae;309
Parotia_lawesii;Parotia_lawesii;7
Passer_griseus;Passer_griseus;4679
Patagona_gigas;Patagona_gigas;494
Pauxi_pauxi;Pauxi_pauxi;85
Pavo_muticus;Pavo_muticus;1230
Pelecanus_crispus;Pelecanus_crispus;164
Penelope_albipennis;Penelope_albipennis;12
Penelope_pileata;Penelope_pileata;2
Penelope_purpurascens;Penelope_purpurascens;35
Penelopides_exarhatus;Penelopides_exarhatus;16
Penelopides_panini;Penelopides_panini;40
Penelopina_nigra;Penelopina_nigra;16
Pernis_apivorus;Pernis_apivorus;40
Pernis_ptilorhyncus;Pernis_ptilorhyncus;2
Petronia_dentata;Petronia_dentata;700
Phaethornis_bourcieri;Phaethornis_bourcieri;6
Phaethornis_griseogularis;Phaethornis_griseogularis;63
Phaethornis_guy;Phaethornis_guy;18
Phaethornis_idaliae;Phaethornis_idaliae;5
Phaethornis_longirostris;Phaethornis_longirostris;83
Phaethornis_longuemareus;Phaethornis_longuemareus;14
Phaethornis_striigularis;Phaethornis_striigularis;1
Phaethornis_superciliosus;Phaethornis_superciliosus;156
Phalcoboenus_albogularis;Phalcoboenus_albogularis;8
Phalcoboenus_australis;Phalcoboenus_australis;78
Phalcoboenus_megalopterus;Phalcoboenus_megalopterus;111
Pharomachrus_mocinno;Pharomachrus_mocinno;12
Phigys_solitarius;Phigys_solitarius;79
Phodilus_badius;Phodilus_badius;6
Phoeniconaias_minor;Phoeniconaias_minor;37224
Phoenicoparrus_andinus;Phoenicoparrus_andinus;28
Phoenicoparrus_jamesi;Phoenicoparrus_jamesi;23
Phoenicopterus_chilensis;Phoenicopterus_chilensis;6001
Phoenicopterus_ruber;Phoenicopterus_ruber;36094
Pholidornis_rushiae;Pholidornis_rushiae;40
Picathartes_gymnocephalus;Picathartes_gymnocephalus;7
Pionites_leucogaster;Pionites_leucogaster;9662
Pionites_melanocephalus;Pionites_melanocephalus;50947
Pionopsitta_pileata;Pionopsitta_pileata;97
Pionus_chalcopterus;Pionus_chalcopterus;3950
Pionus_fuscus;Pionus_fuscus;16209
Pionus_maximiliani;Pionus_maximiliani;116775
Pionus_menstruus;Pionus_menstruus;51984
Pionus_senilis;Pionus_senilis;22149
Pionus_sordidus;Pionus_sordidus;556
Pionus_tumultuosus;Pionus_tumultuosus;543
Pipile_jacutinga;Pipile_jacutinga;12
Pipile_pipile;Pipile_pipile;68
Pitta_angolensis;Pitta_angolensis;11
Pitta_guajana;Pitta_guajana;1
Pitta_moluccensis;Pitta_moluccensis;37
Pitta_nympha;Pitta_nympha;90
Pitta_sordida;Pitta_sordida;752
Platalea_leucorodia;Platalea_leucorodia;847
Platycercus_adscitus;Platycercus_adscitus;36693
Platycercus_caledonicus;Platycercus_caledonicus;3206
Platycercus_elegans;Platycercus_elegans;110228
Platycercus_eximius;Platycercus_eximius;297889
Platycercus_icterotis;Platycercus_icterotis;21843
Platycercus_venustus;Platycercus_venustus;1401
Plectropterus_gambensis;Plectropterus_gambensis;219
Plocepasser_superciliosus;Plocepasser_superciliosus;800
Ploceus_aurantius;Ploceus_aurantius;8690
Ploceus_cucullatus;Ploceus_cucullatus;229804
Ploceus_heuglini;Ploceus_heuglini;3735
Ploceus_luteolus;Ploceus_luteolus;37742
Ploceus_melanocephalus;Ploceus_melanocephalus;147362
Ploceus_nigerrimus;Ploceus_nigerrimus;2617
Ploceus_nigricollis;Ploceus_nigricollis;780
Ploceus_pelzelni;Ploceus_pelzelni;942
Ploceus_preussi;Ploceus_preussi;200
Ploceus_superciliosus;Ploceus_superciliosus;1272
Ploceus_tricolor;Ploceus_tricolor;690
Ploceus_vitellinus;Ploceus_vitellinus;35781
Poephila_cincta;Poephila_cincta;11753
Poicephalus_crassus;Poicephalus_crassus;416
Poicephalus_cryptoxanthus;Poicephalus_cryptoxanthus;16586
Poicephalus_flavifrons;Poicephalus_flavifrons;138
Poicephalus_gulielmi;Poicephalus_gulielmi;75528
Poicephalus_meyeri;Poicephalus_meyeri;87173
Poicephalus_robustus;Poicephalus_robustus;19854
Poicephalus_rueppellii;Poicephalus_rueppellii;10147
Poicephalus_rufiventris;Poicephalus_rufiventris;33532
Poicephalus_senegalus;Poicephalus_senegalus;897278
Polemaetus_bellicosus;Polemaetus_bellicosus;347
Polihierax_semitorquatus;Polihierax_semitorquatus;186
Polyboroides_radiatus;Polyboroides_radiatus;34
Polyboroides_typus;Polyboroides_typus;83
Polyonymus_caroli;Polyonymus_caroli;2030
Polyplectron_bicalcaratum;Polyplectron_bicalcaratum;1341
Polyplectron_germaini;Polyplectron_germaini;406
Polyplectron_inopinatum;Polyplectron_inopinatum;1364
Polyplectron_malacense;Polyplectron_malacense;805
Polyplectron_napoleonis;Polyplectron_napoleonis;1075
Polyplectron_schleiermacheri;Polyplectron_schleiermacheri;168
Polytelis_alexandrae;Polytelis_alexandrae;26056
Polytelis_anthopeplus;Polytelis_anthopeplus;21341
Polytelis_swainsonii;Polytelis_swainsonii;28111
Polytmus_guainumbi;Polytmus_guainumbi;10
Primolius_auricollis;Primolius_auricollis;15574
Primolius_couloni;Primolius_couloni;596
Primolius_maracana;Primolius_maracana;689
Prioniturus_discurus;Prioniturus_discurus;210
Prioniturus_flavicans;Prioniturus_flavicans;97
Prioniturus_luconensis;Prioniturus_luconensis;196
Prioniturus_mada;Prioniturus_mada;43
Prioniturus_platurus;Prioniturus_platurus;2536
Probosciger_aterrimus;Probosciger_aterrimus;1213
Procnias_nudicollis;Procnias_nudicollis;10
Prosopeia_personata;Prosopeia_personata;156
Prosopeia_tabuensis;Prosopeia_tabuensis;106
Psephotus_chrysopterygius;Psephotus_chrysopterygius;1654
Psephotus_dissimilis;Psephotus_dissimilis;1157
Psephotus_haematonotus;Psephotus_haematonotus;297178
Psephotus_varius;Psephotus_varius;10378
Pseudeos_fuscata;Pseudeos_fuscata;21527
Pseudoscops_clamator;Pseudoscops_clamator;217
Pseudoscops_grammicus;Pseudoscops_grammicus;1
Psilopsiagon_aurifrons;Psilopsiagon_aurifrons;7400
Psilopsiagon_aymara;Psilopsiagon_aymara;11780
Psittacella_brehmii;Psittacella_brehmii;7
Psittacella_madaraszi;Psittacella_madaraszi;1
Psittacella_picta;Psittacella_picta;1
Psittacula_alexandri;Psittacula_alexandri;150249
Psittacula_calthropae;Psittacula_calthropae;138
Psittacula_caniceps;Psittacula_caniceps;5
Psittacula_columboides;Psittacula_columboides;833
Psittacula_cyanocephala;Psittacula_cyanocephala;81919
Psittacula_derbiana;Psittacula_derbiana;6990
Psittacula_eques;Psittacula_eques;72
Psittacula_eupatria;Psittacula_eupatria;85054
Psittacula_finschii;Psittacula_finschii;3746
Psittacula_himalayana;Psittacula_himalayana;3522
Psittacula_krameri;Psittacula_krameri;849090
Psittacula_longicauda;Psittacula_longicauda;28518
Psittacula_roseata;Psittacula_roseata;22095
Psittaculirostris_desmarestii;Psittaculirostris_desmarestii;12425
Psittaculirostris_edwardsii;Psittaculirostris_edwardsii;8911
Psittaculirostris_salvadorii;Psittaculirostris_salvadorii;4057
Psittacus_erithacus;Psittacus_erithacus;1672385
Psitteuteles_goldiei;Psitteuteles_goldiei;7833
Psitteuteles_iris;Psitteuteles_iris;2461
Psitteuteles_versicolor;Psitteuteles_versicolor;3
Psittinus_cyanurus;Psittinus_cyanurus;24873
Psittrichas_fulgidus;Psittrichas_fulgidus;543
Pteridophora_alberti;Pteridophora_alberti;10
Pteroglossus_aracari;Pteroglossus_aracari;4575
Pteroglossus_bailloni;Pteroglossus_bailloni;31
Pteroglossus_castanotis;Pteroglossus_castanotis;85
Pteroglossus_viridis;Pteroglossus_viridis;2671
Pteronetta_hartlaubii;Pteronetta_hartlaubii;487
Pterophanes_cyanopterus;Pterophanes_cyanopterus;15
Ptilinopus_marchei;Ptilinopus_marchei;12
Ptilopsis_granti;Ptilopsis_granti;24
Ptiloris_magnificus;Ptiloris_magnificus;17
Pulsatrix_melanota;Pulsatrix_melanota;80
Pulsatrix_perspicillata;Pulsatrix_perspicillata;238
Purpureicephalus_spurius;Purpureicephalus_spurius;4299
Pycnonotus_jocosus;Pycnonotus_jocosus;16597
Pycnonotus_zeylanicus;Pycnonotus_zeylanicus;608
Pyrenestes_ostrinus;Pyrenestes_ostrinus;53020
Pyrilia_barrabandi;Pyrilia_barrabandi;837
Pyrilia_caica;Pyrilia_caica;1091
Pyrilia_haematotis;Pyrilia_haematotis;216
Pyrilia_pyrilia;Pyrilia_pyrilia;3
Pyrilia_vulturina;Pyrilia_vulturina;6
Pyrrhula_erythaca;Pyrrhula_erythaca;355
Pyrrhura_calliptera;Pyrrhura_calliptera;29
Pyrrhura_cruentata;Pyrrhura_cruentata;608
Pyrrhura_devillei;Pyrrhura_devillei;10
Pyrrhura_egregia;Pyrrhura_egregia;2126
Pyrrhura_frontalis;Pyrrhura_frontalis;68404
Pyrrhura_hoematotis;Pyrrhura_hoematotis;24
Pyrrhura_hoffmanni;Pyrrhura_hoffmanni;3220
Pyrrhura_lepida;Pyrrhura_lepida;1598
Pyrrhura_leucotis;Pyrrhura_leucotis;2016
Pyrrhura_melanura;Pyrrhura_melanura;966
Pyrrhura_molinae;Pyrrhura_molinae;56060
Pyrrhura_perlata;Pyrrhura_perlata;5757
Pyrrhura_picta;Pyrrhura_picta;12424
Pyrrhura_rhodocephala;Pyrrhura_rhodocephala;3393
Pyrrhura_rupicola;Pyrrhura_rupicola;4820
Pyrrhura_viridicata;Pyrrhura_viridicata;100
Pytilia_hypogrammica;Pytilia_hypogrammica;133655
Pytilia_phoenicoptera;Pytilia_phoenicoptera;187744
Quelea_erythrops;Quelea_erythrops;6887
Ramphastos_dicolorus;Ramphastos_dicolorus;55
Ramphastos_sulfuratus;Ramphastos_sulfuratus;5741
Ramphastos_toco;Ramphastos_toco;5172
Ramphastos_tucanus;Ramphastos_tucanus;4500
Ramphastos_vitellinus;Ramphastos_vitellinus;5631
Rhea_americana;Rhea_americana;2839
Rhea_pennata;Rhea_pennata;185
Rheinardia_ocellata;Rheinardia_ocellata;27
Rhodopis_vesper;Rhodopis_vesper;2486
Rhynchopsitta_pachyrhyncha;Rhynchopsitta_pachyrhyncha;51
Rhynchopsitta_terrisi;Rhynchopsitta_terrisi;12
Rhynchotus_rufescens;Rhynchotus_rufescens;10
Rhynochetos_jubatus;Rhynochetos_jubatus;39
Rollulus_rouloul;Rollulus_rouloul;4295
Rostrhamus_sociabilis;Rostrhamus_sociabilis;1
Rupicola_peruvianus;Rupicola_peruvianus;399
Rupicola_rupicola;Rupicola_rupicola;134
Sagittarius_serpentarius;Sagittarius_serpentarius;918
Sappho_sparganura;Sappho_sparganura;2
Sarcogyps_calvus;Sarcogyps_calvus;6
Sarcoramphus_papa;Sarcoramphus_papa;90
Sarkidiornis_melanotos;Sarkidiornis_melanotos;444
Scotopelia_bouvieri;Scotopelia_bouvieri;90
Scotopelia_peli;Scotopelia_peli;103
Selenidera_maculirostris;Selenidera_maculirostris;12
Seleucidis_melanoleucus;Seleucidis_melanoleucus;299
Semnornis_ramphastinus;Semnornis_ramphastinus;3
Sephanoides_sephaniodes;Sephanoides_sephaniodes;50
Serinus_canicollis;Serinus_canicollis;468
Serinus_citrinelloides;Serinus_citrinelloides;150
Serinus_gularis;Serinus_gularis;4818
Serinus_leucopygius;Serinus_leucopygius;594523
Serinus_mozambicus;Serinus_mozambicus;3394342
Sitta_magna;Sitta_magna;23
Spermophaga_haematina;Spermophaga_haematina;36496
Spheniscus_demersus;Spheniscus_demersus;2244
Spheniscus_humboldti;Spheniscus_humboldti;1858
Spilornis_cheela;Spilornis_cheela;24
Spizaetus_melanoleucus;Spizaetus_melanoleucus;4
Spizaetus_ornatus;Spizaetus_ornatus;52
Spizaetus_tyrannus;Spizaetus_tyrannus;22
Sporopipes_frontalis;Sporopipes_frontalis;3642
Stephanoaetus_coronatus;Stephanoaetus_coronatus;625
Stephanoxis_lalandi;Stephanoxis_lalandi;40
Stigmatopelia_senegalensis;Stigmatopelia_senegalensis;79175
Streptopelia_decipiens;Streptopelia_decipiens;715
Streptopelia_roseogrisea;Streptopelia_roseogrisea;34
Streptopelia_semitorquata;Streptopelia_semitorquata;1339
Streptopelia_turtur;Streptopelia_turtur;136
Streptopelia_vinacea;Streptopelia_vinacea;639
Strix_aluco;Strix_aluco;424
Strix_chacoensis;Strix_chacoensis;6
Strix_huhula;Strix_huhula;27
Strix_hylophila;Strix_hylophila;20
Strix_leptogrammica;Strix_leptogrammica;88
Strix_nebulosa;Strix_nebulosa;608
Strix_occidentalis;Strix_occidentalis;14
Strix_ocellata;Strix_ocellata;2
Strix_rufipes;Strix_rufipes;157
Strix_seloputo;Strix_seloputo;17
Strix_uralensis;Strix_uralensis;670
Strix_varia;Strix_varia;36
Strix_virgata;Strix_virgata;131
Strix_woodfordii;Strix_woodfordii;431
Struthio_camelus;Struthio_camelus;1479
Sturnus_sericeus;Sturnus_sericeus;541
Surnia_ulula;Surnia_ulula;270
Syrmaticus_ellioti;Syrmaticus_ellioti;1661
Syrmaticus_humiae;Syrmaticus_humiae;780
Syrmaticus_mikado;Syrmaticus_mikado;1212
Syrmaticus_reevesii;Syrmaticus_reevesii;10
Tangara_varia;Tangara_varia;11
Tanygnathus_gramineus;Tanygnathus_gramineus;32
Tanygnathus_lucionensis;Tanygnathus_lucionensis;2665
Tanygnathus_megalorynchos;Tanygnathus_megalorynchos;11585
Tanygnathus_sumatranus;Tanygnathus_sumatranus;1508
Tauraco_corythaix;Tauraco_corythaix;235
Tauraco_erythrolophus;Tauraco_erythrolophus;225
Tauraco_fischeri;Tauraco_fischeri;630
Tauraco_hartlaubi;Tauraco_hartlaubi;5593
Tauraco_leucolophus;Tauraco_leucolophus;417
Tauraco_leucotis;Tauraco_leucotis;560
Tauraco_livingstonii;Tauraco_livingstonii;3386
Tauraco_macrorhynchus;Tauraco_macrorhynchus;256
Tauraco_persa;Tauraco_persa;14235
Tauraco_porphyreolophus;Tauraco_porphyreolophus;843
Tauraco_schalowi;Tauraco_schalowi;120
Tauraco_schuetti;Tauraco_schuetti;40
Terathopius_ecaudatus;Terathopius_ecaudatus;733
Terpsiphone_atrocaudata;Terpsiphone_atrocaudata;2
Tetraogallus_tibetanus;Tetraogallus_tibetanus;1
Tetrax_tetrax;Tetrax_tetrax;2
Thalurania_furcata;Thalurania_furcata;79
Thaumastura_cora;Thaumastura_cora;3856
Threnetes_niger;Threnetes_niger;21
Threnetes_ruckeri;Threnetes_ruckeri;6
Threskiornis_aethiopicus;Threskiornis_aethiopicus;1399
Tinamus_solitarius;Tinamus_solitarius;690
Topaza_pella;Topaza_pella;6
Torgos_tracheliotos;Torgos_tracheliotos;332
Touit_huetii;Touit_huetii;2
Tragopan_blythii;Tragopan_blythii;162
Tragopan_caboti;Tragopan_caboti;1097
Tragopan_melanocephalus;Tragopan_melanocephalus;1
Tragopan_satyra;Tragopan_satyra;1581
Tragopan_temminckii;Tragopan_temminckii;7
Treron_calvus;Treron_calvus;3916
Treron_waalia;Treron_waalia;6125
Trichoglossus_chlorolepidotus;Trichoglossus_chlorolepidotus;1739
Trichoglossus_euteles;Trichoglossus_euteles;3559
Trichoglossus_flavoviridis;Trichoglossus_flavoviridis;6717
Trichoglossus_haematodus;Trichoglossus_haematodus;155354
Trichoglossus_johnstoniae;Trichoglossus_johnstoniae;536
Trichoglossus_ornatus;Trichoglossus_ornatus;2640
Trichoglossus_rubiginosus;Trichoglossus_rubiginosus;22
Triclaria_malachitacea;Triclaria_malachitacea;351
Trigonoceps_occipitalis;Trigonoceps_occipitalis;681
Trochilus_polytmus;Trochilus_polytmus;65
Turdus_dissimilis;Turdus_dissimilis;811
Turnix_melanogaster;Turnix_melanogaster;1
Turtur_abyssinicus;Turtur_abyssinicus;5276
Turtur_afer;Turtur_afer;26029
Turtur_brehmeri;Turtur_brehmeri;1252
Turtur_tympanistria;Turtur_tympanistria;28295
Tympanuchus_cupido;Tympanuchus_cupido;2
Tyto_alba;Tyto_alba;2281
Tyto_aurantia;Tyto_aurantia;1
Tyto_capensis;Tyto_capensis;64
Tyto_glaucops;Tyto_glaucops;58
Uraeginthus_bengalus;Uraeginthus_bengalus;1543373
Urotriorchis_macrourus;Urotriorchis_macrourus;3
Vidua_chalybeata;Vidua_chalybeata;274355
Vidua_interjecta;Vidua_interjecta;228
Vidua_larvaticola;Vidua_larvaticola;562
Vidua_macroura;Vidua_macroura;303701
Vidua_orientalis;Vidua_orientalis;223009
Vidua_paradisaea;Vidua_paradisaea;54609
Vidua_raricola;Vidua_raricola;205
Vidua_togoensis;Vidua_togoensis;250
Vidua_wilsoni;Vidua_wilsoni;135
Vini_australis;Vini_australis;156
Vini_kuhlii;Vini_kuhlii;30
Vini_peruviana;Vini_peruviana;16
Vini_ultramarina;Vini_ultramarina;24
Vultur_gryphus;Vultur_gryphus;324
Xenoglaux_loweryi;Xenoglaux_loweryi;1
Xipholena_atropurpurea;Xipholena_atropurpurea;6
Zoothera_monticola;Zoothera_monticola;24
Zosterops_palpebrosus;Zosterops_palpebrosus;1375