"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"884","HYPHI17","H17","Haemoproteus"
"885","HYPHI03","H3","Haemoproteus"
"886","HYPHI15","H15","Haemoproteus"
"887","HYPHI16","H16","Haemoproteus"
"888","SPIPAS07","","Leucocytozoon"
"891","JUHYE18","","Leucocytozoon"
"892","JUHYE19","","Leucocytozoon"
"893","ZOLEU02","L.AK18","Leucocytozoon"
"894","JUHYE12","","Haemoproteus"
"896","CATUST10","DEJU_CA_ELW_2H","Haemoproteus"
"900","GYMSAL01","","Haemoproteus"
"902","JUHYE03","H.AK08","Haemoproteus"
"906","SETCOR06","","Leucocytozoon"
"910","LAGLAG03","","Leucocytozoon"
"912","AFR006","","Plasmodium"
"914","LZFUS01","","Plasmodium"
"915","RBS5","H_20","Haemoproteus"
"916","RBS1","","Haemoproteus"
"917","BT5","","Leucocytozoon"
"918","RBS4","","Haemoproteus"
"919","RBS2","","Haemoproteus"
"920","PYCGPI03","62","Leucocytozoon"
"921","RBS3","","Haemoproteus"
"922","LARCRA01","H-LIN13","Haemoproteus"
"926","LEPCOR01","LEPIDO01","Plasmodium"
"927","LEPCOR04","","Plasmodium"
"928","TACRUB01","LECOR01","Plasmodium"
"933","LEPNAT01","","Plasmodium"
"935","THACAE01","","Plasmodium"
"936","XIPOCE02","","Haemoproteus"
"938","LEPRUF02","LERUF01","Haemoproteus"
"940","GEMON01","CB4Ecu,GMEcu,LPMex","Haemoproteus"
"941","COLBF03","","Leucocytozoon"
"945","LICFRE01","AP45","Haemoproteus"
"948","LONCUC01","H_LONCUC01","Haemoproteus"
"959","LOXVIO01","","Haemoproteus"
"961","COFLA01","31","Haemoproteus"
"963","LULU1","","Haemoproteus"
"972","AFTRU5","","Plasmodium"
"973","BT6","","Plasmodium"
"976","BT1","","Leucocytozoon"
"979","BT8","","Plasmodium"
"984","GRW15","","Plasmodium"
"985","MAFUS04","5","Haemoproteus"
"986","MEGANT01","YEP-1","Leucocytozoon"
"987","MELNIG04","","Haemoproteus"
"988","MELNIG03","","Haemoproteus"
"989","MELNIG02","","Haemoproteus"
"990","MELSTR04","","Haemoproteus"
"991","MELSTR02","","Haemoproteus"
"992","MELVER01","","Haemoproteus"
"997","MELVER02","","Haemoproteus"
"998","MELMEG01","AP32","Haemoproteus"
"999","MELLEW01","AP44","Haemoproteus"
"1009","MELMEL01","P_SOSP1","Plasmodium"
"1010","MELMEL04","P_SOSP7","Plasmodium"
"1016","MEAPI03","","Haemoproteus"
"1017","MILANS06","","Plasmodium"
"1018","MEAPI02","","Haemoproteus"
"1019","MEAPI01","","Haemoproteus"
"1022","COECOE12","","Leucocytozoon"
"1023","METMEL05","","Leucocytozoon"
"1024","TANICT01","MICMAR01","Haemoproteus"
"1028","MIOSTR03","","Plasmodium"
"1035","MOLBON04","H56","Haemoproteus"
"1036","NEOTEM01","NEOTEM01","Haemoproteus"
"1037","MONNIG02","","Haemoproteus"
"1040","YWT4","","Plasmodium"
"1041","YWT5","","Haemoproteus"
"1043","YWT3","","Haemoproteus"
"1045","YWT1","","Haemoproteus"
"1046","COLL1","","Plasmodium"
"1048","MOFLA01","","Leucocytozoon"
"1051","SFC10","H190","Haemoproteus"
"1052","SFC1","","Haemoproteus"
"1053","SFC9","","Haemoproteus"
"1054","SFC3","","Haemoproteus"
"1056","SFC4","","Haemoproteus"
"1060","MYARAL02","","Leucocytozoon"
"1061","MYAUNI01","","Leucocytozoon"
"1062","MYCAME08","","Haemoproteus"
"1071","MYRHEM02","","Plasmodium"
"1073","HYPSTR04","","Plasmodium"
"1076","MYRAXI03","","Plasmodium"
"1077","MYRAXI01","","Plasmodium"
"1078","DETUR01","","Plasmodium"
"1079","MYRAXI09","","Plasmodium"
"1082","ISLHAU01","","Plasmodium"
"1084","MYRSCH01","","Plasmodium"
"1085","CHAAM01","PV45,PV45a","Plasmodium"
"1086","CINCHA01","PV41","Plasmodium"
"1088","CYAOLI04","PV25aL","Plasmodium"
"1089","CINCHL01","","Plasmodium"
"1091","CINCOQ01","P20","Plasmodium"
"1096","NENOT04","","Haemoproteus"
"1097","CYAOLI02","P49","Plasmodium"
"1098","PLACAS02","PV23L","Plasmodium"
"1101","CYAOLI10","PV30","Plasmodium"
"1102","CYAOLI09","pCYOL2","Plasmodium"
"1105","CYAOLI12","PV19L","Plasmodium"
"1106","CYAOLI01","P38","Plasmodium"
"1107","CYAOLI11","PV27L","Plasmodium"
"1109","CYAOLI05","HV2L","Haemoproteus"
"1111","NEOBS01","PV16aL,PV16bL,PV16L","Plasmodium"
"1114","CYAOLI03","WAH14","Haemoproteus"
"1115","CYAOLI06","HV4L","Haemoproteus"
"1132","NEOFAS05","","Plasmodium"
"1134","NEOFAS01","","Plasmodium"
"1138","URANO02","H_Uan1","Haemoproteus"
"1140","ALARV04","","Plasmodium"
"1142","NINOX08","","Leucocytozoon"
"1143","NINOX07","","Haemoproteus"
"1144","NYSMAC03","","Haemoproteus"
"1145","NYSMAC01","","Haemoproteus"
"1146","OCHLEU01","OCHLEU03","Haemoproteus"
"1147","OCHLEU02","","Haemoproteus"
"1151","ORORI01","","Haemoproteus"
"1152","ORORI02","","Haemoproteus"
"1153","PAPOL01","","Haemoproteus"
"1154","PACPOL01","PAPOLY01","Haemoproteus"
"1155","PAPOL03","PAPOL03","Haemoproteus"
"1158","PARMON01","","Haemoproteus"
"1162","PERATE09","","Leucocytozoon"
"1163","PARUS7","","Leucocytozoon"
"1167","PERATE06","H260","Leucocytozoon"
"1169","BAEBIC04","","Plasmodium"
"1174","BLUTI03","","Plasmodium"
"1175","BLUTI10","","Plasmodium"
"1178","PARUS6","","Haemoproteus"
"1179","PARUS14","C103","Leucocytozoon"
"1180","PARUS20","Ge066","Leucocytozoon"
"1181","PARUS15","H021","Leucocytozoon"
"1183","PARUS16","H073","Leucocytozoon"
"1184","BLUTI02","","Plasmodium"
"1185","SYAT01","H105","Haemoproteus"
"1186","PARUS13","W019","Leucocytozoon"
"1193","PARUS87","","Leucocytozoon"
"1195","PARUS11","Ge022","Leucocytozoon"
"1196","BLUTI05","","Plasmodium"
"1198","BLUTI04","","Plasmodium"
"1199","PARUS12","Np083","Leucocytozoon"
"1201","PARUS74","","Leucocytozoon"
"1202","DELURB4","","Plasmodium"
"1209","PARUS18","H060","Leucocytozoon"
"1211","PARUS84","H366","Leucocytozoon"
"1213","PARUS4","","Leucocytozoon"
"1227","PARUS2","","Plasmodium"
"1229","PARUS25","","Leucocytozoon"
"1230","PARUS34","","Leucocytozoon"
"1240","PARUS33","","Leucocytozoon"
"1243","PARUS35","","Leucocytozoon"
"1245","PARUS81","H264","Leucocytozoon"
"1247","PARUS66","","Plasmodium"
"1252","PARUS36","","Leucocytozoon"
"1253","PARUS26","","Leucocytozoon"
"1254","PARUS28","","Leucocytozoon"
"1255","PARUS17","Ge35","Leucocytozoon"
"1259","PARUS37","","Leucocytozoon"
"1261","PARUS8","","Leucocytozoon"
"1270","EMCIR02","","Leucocytozoon"
"1277","PARUS69","H173","Leucocytozoon"
"1279","PAMEL01","H_4A,H_4B,H_4C,H_4D,H_4E,H_4F,H_4G,H_4H","Haemoproteus"
"1283","RS4","","Leucocytozoon"
"1287","PADOM05","","Haemoproteus"
"1288","PADOM28","","Plasmodium"
"1291","PAHIS1","","Haemoproteus"
"1292","PADOM22","","Haemoproteus"
"1293","PADOM08","","Plasmodium"
"1296","PADOM03","","Haemoproteus"
"1302","PAGRI02","H206","Plasmodium"
"1304","PAGRI01","","Haemoproteus"
"1311","PAHIS2","H210","Haemoproteus"
"1331","PATFAS02","","Leucocytozoon"
"1332","PATFAS01","","Haemoproteus"
"1335","DENVID01","","Plasmodium"
"1336","PENPAN01","68","Leucocytozoon"
"1337","PENCYA01","","Haemoproteus"
"1338","PENCYA02","","Haemoproteus"
"1339","PERCAN01","L.AK10","Leucocytozoon"
"1340","PERCAN10","","Haemoproteus"
"1345","EUTAQU01","SA4","Plasmodium"
"1346","PHAMAL01","SA11","Haemoproteus"
"1350","PHABRA01","","Leucocytozoon"
"1351","ZEMAC01","","Plasmodium"
"1353","PHEMEL02","","Haemoproteus"
"1357","PHELUD01","","Leucocytozoon"
"1363","MILANS05","PLASCOQ8","Plasmodium"
"1364","PHLNIG05","","Haemoproteus"
"1366","AUTPAR01","","Plasmodium"
"1367","PHLNIG03","","Plasmodium"
"1373","RS1","","Haemoproteus"
"1376","PHRFRU09","H43","Haemoproteus"
"1377","PHRFRU02","H08","Haemoproteus"
"1378","PHRFRU07","H41","Haemoproteus"
"1380","OCHOEN01","H28","Haemoproteus"
"1381","PHRFRU05","H31","Haemoproteus"
"1382","PHRPAT01","H02","Haemoproteus"
"1394","CWT4","HAE3","Haemoproteus"
"1395","GW1","HAE4","Haemoproteus"
"1396","HLW1","","Haemoproteus"
"1397","GW5","HAE8","Haemoproteus"
"1398","CXPIP11","PLA1","Plasmodium"
"1399","ARAMAG01","PLA2","Plasmodium"
"1403","PHSIB2","","Haemoproteus"
"1406","ORW1","PLA5","Plasmodium"
"1407","LCLW1","HAE7","Haemoproteus"
"1420","PHYRAR01","","Leucocytozoon"
"1421","DIUDIU06","","Leucocytozoon"
"1422","PHYRUT01","H61","Haemoproteus"
"1423","PIACAY01","","Haemoproteus"
"1424","PICPIC01","","Leucocytozoon"
"1426","TOFLA03","ABUJAC01","Haemoproteus"
"1427","PIPMAC01","","Haemoproteus"
"1430","PIPMAC03","","Haemoproteus"
"1437","PIPARC03","PIPARC04","Leucocytozoon"
"1438","MONNIG01","","Plasmodium"
"1439","SETGRA02","","Leucocytozoon"
"1441","PIRLUD03","","Leucocytozoon"
"1442","PIRFLA01","","Haemoproteus"
"1444","PIRFLA02","","Leucocytozoon"
"1445","SETAUD30","","Leucocytozoon"
"1446","PIRLUD08","PIRLUD06","Haemoproteus"
"1447","PIRLUD01","","Haemoproteus"
"1449","PIRLUD02","","Haemoproteus"
"1450","PIOLI01","35","Haemoproteus"
"1452","PIRUB01","34","Haemoproteus"
"1455","PITDIC01","AP56","Haemoproteus"
"1459","VILWE3","","Haemoproteus"
"1460","MALNI02","WA22","Plasmodium"
"1462","VILWE04","WAH38","Haemoproteus"
"1475","PLOVEL01","P18","Plasmodium"
"1481","POMHOR01","","Haemoproteus"
"1482","POOCAE01","","Leucocytozoon"
"1485","PREGUT01","","Plasmodium"
"1496","THAMB06","","Plasmodium"
"1499","PSOOCH01","","Plasmodium"
"1500","PTIPER04","","Haemoproteus"
"1501","PTIPER03","","Haemoproteus"
"1502","BUL04","WA44","Plasmodium"
"1503","BUL05","WA45","Plasmodium"
"1504","BUL1","","Haemoproteus"
"1507","PYCCAF01","P-LIN24","Plasmodium"
"1509","PYRLEU02","","Plasmodium"
"1510","PYLEU01","PYLEU01","Plasmodium"
"1511","EMPALN02","","Haemoproteus"
"1517","PYRPYR01","H370","Leucocytozoon"
"1521","RBQ06","H7","Haemoproteus"
"1525","REB4","H4","Haemoproteus"
"1528","RBQ17","P4","Plasmodium"
"1529","RBQ01","","Haemoproteus"
"1530","RBQ02","P19","Plasmodium"
"1535","RAMCAR01","RAMCAR01","Plasmodium"
"1539","RIPRIP01","","Haemoproteus"
"1542","RIPRIP04","","Haemoproteus"
"1543","RIPRIP02","","Haemoproteus"
"1544","RIPRIP06","","Haemoproteus"
"1546","RIPRIP03","","Haemoproteus"
"1547","THCAE01","THCAE01","Plasmodium"
"1548","SALATR01","","Plasmodium"
"1561","SEINOV02","LVE6","Leucocytozoon"
"1563","SERCIT02","AP16","Haemoproteus"
"1564","SERCIT01","AP8","Haemoproteus"
"1565","SERPER01","","Haemoproteus"
"1567","CRIRUF02","L_CRIRUF02","Leucocytozoon"
"1573","SIAMEX03","","Leucocytozoon"
"1585","SITTAKRU1","","Haemoproteus"
"1590","SPHUM05","","Plasmodium"
"1592","SPHUM03","","Plasmodium"
"1595","SPMAG01","","Plasmodium"
"1596","SPMAG11","Cluster C","Plasmodium"
"1598","SPMAG02","","Plasmodium"
"1599","SPMAG10","Cluster B","Plasmodium"
"1601","SPMAG06","29092","Plasmodium"
"1609","SIAMEX01","","Haemoproteus"
"1611","SPIPAS09","","Leucocytozoon"
"1615","SPIPAS02","","Haemoproteus"
"1616","STANIG01","P-LIN32","Plasmodium"
"1619","SPISEN01","","Haemoproteus"
"1620","SPISEN02","","Haemoproteus"
"1621","SYBOR09","","Plasmodium"
"1624","STRORI02","Streptopelia orientalis 1,Streptopelia orientalis 2","Leucocytozoon"
"1625","STRORI06","","Leucocytozoon"
"1626","STRORI01","Streptopelia orientalis 5","Haemoproteus"
"1631","STRTUR03","H272","Haemoproteus"
"1632","STRTUR01","H230","Haemoproteus"
"1633","STRTUR02","H232","Haemoproteus"
"1634","STRTUR04","","Haemoproteus"
"1637","STAL5","AY-2013","Leucocytozoon"
"1638","STAL2","","Haemoproteus"
"1639","STOCC14","","Leucocytozoon"
"1640","STOCC01","","Haemoproteus"
"1643","STOCC03","","Leucocytozoon"
"1644","STOCC02","","Haemoproteus"
"1645","PLAMIN01","","Haemoproteus"
"1646","STVAR06","H1","Haemoproteus"
"1649","MONCAC01","","Haemoproteus"
"1650","MONMER01","","Haemoproteus"
"1651","MONFAI02","","Haemoproteus"
"1653","STUSUP01","P13","Plasmodium"
"1656","LAMPUR01","","Haemoproteus"
"1657","SUISUI02","","Haemoproteus"
"1658","SYAT22","","Leucocytozoon"
"1659","SYAT33","","Haemoproteus"
"1661","SYAT10","","Haemoproteus"
"1663","SYBOR15","","Haemoproteus"
"1664","SYAT24","","Plasmodium"
"1665","SYAT17","","Haemoproteus"
"1666","SYAT04","","Haemoproteus"
"1667","SYAT07","","Haemoproteus"
"1669","SYAT36","","Haemoproteus"
"1670","SYAT03","","Haemoproteus"
"1671","SYAT20","","Leucocytozoon"
"1673","SYAT12","","Haemoproteus"
"1675","SYAT02","","Haemoproteus"
"1676","SYAT13","","Haemoproteus"
"1678","SYAT14","","Haemoproteus"
"1679","SYAT18","","Haemoproteus"
"1680","SYAT28","","Haemoproteus"
"1681","SYAT16","","Haemoproteus"
"1682","SYAT35","","Haemoproteus"
"1685","SYAT11","","Haemoproteus"
"1686","SYAT44","H269","Haemoproteus"
"1688","SYAT21","","Haemoproteus"
"1695","SYBOR03","","Haemoproteus"
"1696","SYBOR01","","Haemoproteus"
"1697","SYBOR08","","Leucocytozoon"
"1698","SYBOR05","","Plasmodium"
"1699","SYBOR06","","Leucocytozoon"
"1702","SYBOR04","","Haemoproteus"
"1707","SYBOR22","","Leucocytozoon"
"1711","SYBOR12","","Leucocytozoon"
"1712","SYBOR07","","Leucocytozoon"
"1719","SYBOR33","SYBOR6.SPAIN","Leucocytozoon"
"1722","CWT3","","Haemoproteus"
"1728","CWT2","","Haemoproteus"
"1729","CWT7","","Haemoproteus"
"1735","LWT1","","Haemoproteus"
"1739","LWT2","","Haemoproteus"
"1748","SYNIS2","","Haemoproteus"
"1749","SYNIS1","","Haemoproteus"
"1758","PROSUB01","H55","Haemoproteus"
"1759","TABI10","TACTHA02","Haemoproteus"
"1760","TACCRI01","","Haemoproteus"
"1761","TACRUB03","","Haemoproteus"
"1762","TACRUB02","","Haemoproteus"
"1767","TANCHI02","","Haemoproteus"
"1769","TANCYA02","","Haemoproteus"
"1770","TANCYA01","","Haemoproteus"
"1771","TASCH01","","Haemoproteus"
"1772","TANLAB01","","Haemoproteus"
"1773","CYCYAN01","","Haemoproteus"
"1774","TANIG01","","Haemoproteus"
"1776","TANSCH01","","Plasmodium"
"1782","LEPCOR05","VOLJAC03","Plasmodium"
"1786","ANILAC01","","Leucocytozoon"
"1792","TAUPER01","","Haemoproteus"
"1793","TERUF01","WAH22","Haemoproteus"
"1796","THACAE09","","Plasmodium"
"1797","THACAE08","","Plasmodium"
"1798","THAMB08","THAMB08","Plasmodium"
"1799","THAMB02","THAMB02","Plasmodium"
"1801","THASAT06","","Plasmodium"
"1804","ZOCAP19","H13","Haemoproteus"
"1810","CANLEU01","","Plasmodium"
"1811","PACPOL02","","Plasmodium"
"1812","TOFLA01","TOFLA01","Plasmodium"
"1813","EUMIN01","TOSUL01","Haemoproteus"
"1814","OEDILI01","","Haemoproteus"
"1815","MELMON01","","Haemoproteus"
"1816","TOXRUF01","3","Haemoproteus"
"1817","TRECAP06","AP40","Haemoproteus"
"1818","TRECAP01","AP13","Haemoproteus"
"1819","TRECAP03","AP35","Haemoproteus"
"1820","TRECAP04","AP36","Haemoproteus"
"1824","TROAED03","L2","Leucocytozoon"
"1825","TROAED19","H8","Haemoproteus"
"1827","TROAED13","H2","Haemoproteus"
"1832","TROAED14","H3","Haemoproteus"
"1833","TROAED16","H5","Haemoproteus"
"1834","TROAED09","L7","Leucocytozoon"
"1836","TROAED11","L9","Leucocytozoon"
"1838","TROAED12","H1","Haemoproteus"
"1839","TROAED04","L3","Leucocytozoon"
"1848","TURALB03","","Plasmodium"
"1849","TURALB05","","Plasmodium"
"1850","TURALB01","","Plasmodium"
"1852","TUAMA01","TUAMA01","Plasmodium"
"1855","TURSER01","","Leucocytozoon"
"1859","TURFAL07","","Leucocytozoon"
"1860","TURFAL05","","Leucocytozoon"
"1861","TUFAL01","ChL9","Leucocytozoon"
"1862","TURFLA01","","Plasmodium"
"1868","TFUS06","ADG-2013","Plasmodium"
"1870","TUCHR01","","Haemoproteus"
"1872","TULEU01","TULEU01","Plasmodium"
"1873","TULEU06","TULEU06","Plasmodium"
"1874","TULEU02","TULEU02","Plasmodium"
"1876","TULEU03","TULEU03","Plasmodium"
"1881","TUMIG22","","Plasmodium"
"1882","DONANA05","","Plasmodium"
"1885","FRAG07","","Plasmodium"
"1891","AFTRU4","","Plasmodium"
"1892","TUMER03","H140","Leucocytozoon"
"1893","TURMER06","","Plasmodium"
"1895","TUMER10","","Leucocytozoon"
"1896","TUMER02","","Leucocytozoon"
"1897","TUMER01","","Leucocytozoon"
"1899","TURMER07","","Plasmodium"
"1901","TURMER04","","Plasmodium"
"1904","NEVE01","","Leucocytozoon"
"1907","TURMER02","","Haemoproteus"
"1912","TUMIG11","","Leucocytozoon"
"1914","TUMIG08","H.AK02","Haemoproteus"
"1916","TUMIG06","Par_bird_sp_2","Haemoproteus"
"1917","COLBF28","","Leucocytozoon"
"1920","COLBF32","","Leucocytozoon"
"1921","TUMIG09","L.AK14","Leucocytozoon"
"1923","TUREUN01","","Leucocytozoon"
"1926","TUNIG01","TURNIG01","Leucocytozoon"
"1930","AFTRU09","WA40","Plasmodium"
"1932","TURPEL01","L_TURPEL01","Leucocytozoon"
"1933","AFTRU3","","Leucocytozoon"
"1935","AFTRU1","","Leucocytozoon"
"1936","AFTRU2","","Leucocytozoon"
"1937","TUPHI13","","Leucocytozoon"
"1939","STUR1","","Leucocytozoon"
"1940","TUPHI06","H377","Leucocytozoon"
"1947","TUPHI02","","Leucocytozoon"
"1949","TURUF03","TURUF01","Plasmodium"
"1956","TUSER01","TURSER02","Leucocytozoon"
"1960","CUKI1","H241","Haemoproteus"
"1962","TYTAL6","","Haemoproteus"
"1963","RECOB1","","Haemoproteus"
"1967","VIGIL09","","Haemoproteus"
"1968","VIOLI05","","Haemoproteus"
"1969","VIALT01","27","Haemoproteus"
"1970","FRAG27","","Haemoproteus"
"1971","CYCGUJ01","","Plasmodium"
"1972","VIGIL07","","Haemoproteus"
"1973","RHYSIM01","","Plasmodium"
"1974","FRAG14","","Haemoproteus"
"1975","VIOLI08","","Haemoproteus"
"1979","VIOLI03","","Plasmodium"
"1980","FRAG13","","Haemoproteus"
"1981","CHIPAR01","","Haemoproteus"
"1982","FRAG18","","Plasmodium"
"1984","VIGIL08","","Haemoproteus"
"1985","VIGIL05","WAVI_CA_ELW_9H","Haemoproteus"
"1987","VIGIL02","WAVI_CA_ELW_7L","Leucocytozoon"
"1988","VIGRI02","29","Haemoproteus"
"1991","VIOLI02","","Haemoproteus"
"1993","VIOLI04","VIREO01","Haemoproteus"
"1997","VIRPLU05","","Leucocytozoon"
"1999","VIRPLU04","","Haemoproteus"
"2000","VIRPLU01","","Haemoproteus"
"2006","LEPCOR07","LEPCOR05","Plasmodium"
"2009","WILPOE19","","Plasmodium"
"2010","WILPOE09","","Plasmodium"
"2011","THASAT10","","Plasmodium"
"2013","WILPOE15","","Plasmodium"
"2015","THAMUR01","","Plasmodium"
"2022","XOLPYR01","","Haemoproteus"
"2023","ZEMAC03","SocH6","Haemoproteus"
"2024","MODO1","","Haemoproteus"
"2025","ZENAUR01","","Haemoproteus"
"2026","ZEGAL07","hGDE9W","Haemoproteus"
"2027","ZEGAL05","hHIPP28W,hJH3B002W,hJH003W,hGDS12W","Haemoproteus"
"2031","ZONCAP12","","Leucocytozoon"
"2033","ZOCAP16","PlasH12","Plasmodium"
"2038","ZOCAP08","Haemoproteus sp. ZC1","Haemoproteus"
"2040","CONCIN02","","Leucocytozoon"
"2043","TRMEL02","TRMEL02","Plasmodium"
"2045","ZOCAP03","ChP6","Plasmodium"
"2046","ELAALB01","H10","Haemoproteus"
"2047","ZOCAP21","HaemH28","Haemoproteus"
"2052","ZOCAP01","ChH4","Haemoproteus"
"2062","ZOOCIT02","","Plasmodium"
"2065","ZOOAUR01","","Leucocytozoon"
"2066","ZOODAU01","","Haemoproteus"
"2069","ZOSFLA04","SAN007H,TAN002H","Haemoproteus"
"2070","ZOSJAP02","","Haemoproteus"
"2073","ZOMAD01","D2","Leucocytozoon"
"2076","ZOMAD05","F2","Leucocytozoon"
"2078","ZOBOR04","E","Leucocytozoon"
"2080","ZOSPAL06","ZOSPAL01","Haemoproteus"
"2081","ZOSPAL07","","Haemoproteus"
"2083","AFR211","","Leucocytozoon"
"2084","YEWE2","","Haemoproteus"
